especie	isla	largo_pico_mm	alto_pico_mm
Adelia	Biscoe	35.5	16.2
Adelia	Biscoe	41.1	19.1
Adelia	Torgersen	35.9	16.6
Adelia	Torgersen	41.8	19.4
Adelia	Torgersen	33.5	19
Adelia	Torgersen	39.7	18.4
Adelia	Torgersen	39.6	17.2
Adelia	Torgersen	45.8	18.9
Adelia	Torgersen	35.5	17.5
Adelia	Torgersen	42.8	18.5
Adelia	Torgersen	40.9	16.8
Adelia	Torgersen	37.2	19.4
Adelia	Torgersen	36.2	16.1
Adelia	Torgersen	42.1	19.1
Adelia	Torgersen	34.6	17.2
Adelia	Torgersen	42.9	17.6
Adelia	Torgersen	36.7	18.8
Adelia	Torgersen	35.1	19.4
Adelia	Dream	37.3	17.8
Adelia	Dream	41.3	20.3
Adelia	Dream	36.3	19.5
Adelia	Dream	36.9	18.6
Adelia	Dream	38.3	19.2
Adelia	Dream	38.9	18.8
Adelia	Dream	35.7	18
Adelia	Dream	41.1	18.1
Adelia	Dream	34	17.1
Adelia	Dream	39.6	18.1
Adelia	Dream	36.2	17.3
Adelia	Dream	40.8	18.9
Adelia	Dream	38.1	18.6
Adelia	Dream	40.3	18.5
Adelia	Dream	33.1	16.1
Adelia	Dream	43.2	18.5
Adelia	Biscoe	35	17.9
Adelia	Biscoe	41	20
Adelia	Biscoe	37.7	16
Adelia	Biscoe	37.8	20
Adelia	Biscoe	37.9	18.6
Adelia	Biscoe	39.7	18.9
Adelia	Biscoe	38.6	17.2
Adelia	Biscoe	38.2	20
Adelia	Biscoe	38.1	17
Adelia	Biscoe	43.2	19
Adelia	Biscoe	38.1	16.5
Adelia	Biscoe	45.6	20.3
Adelia	Biscoe	39.7	17.7
Adelia	Biscoe	42.2	19.5
Adelia	Biscoe	39.6	20.7
Adelia	Biscoe	42.7	18.3
Adelia	Torgersen	38.6	17
Adelia	Torgersen	37.3	20.5
Adelia	Torgersen	35.7	17
Adelia	Torgersen	41.1	18.6
Adelia	Torgersen	36.2	17.2
Adelia	Torgersen	37.7	19.8
Adelia	Torgersen	40.2	17
Adelia	Torgersen	41.4	18.5
Adelia	Torgersen	35.2	15.9
Adelia	Torgersen	40.6	19
Adelia	Torgersen	38.8	17.6
Adelia	Torgersen	41.5	18.3
Adelia	Torgersen	39	17.1
Adelia	Torgersen	44.1	18
Adelia	Torgersen	38.5	17.9
Adelia	Torgersen	43.1	19.2
Adelia	Dream	36.8	18.5
Adelia	Dream	37.5	18.5
Adelia	Dream	38.1	17.6
Adelia	Dream	41.1	17.5
Adelia	Dream	35.6	17.5
Adelia	Dream	40.2	20.1
Adelia	Dream	37	16.5
Adelia	Dream	39.7	17.9
Adelia	Dream	40.2	17.1
Adelia	Dream	40.6	17.2
Adelia	Dream	32.1	15.5
Adelia	Dream	40.7	17
Adelia	Dream	37.3	16.8
Adelia	Dream	39	18.7
Adelia	Dream	39.2	18.6
Adelia	Dream	36.6	18.4
Adelia	Dream	36	17.8
Adelia	Dream	37.8	18.1
Adelia	Dream	36	17.1
Adelia	Dream	41.5	18.5
Papúa	Biscoe	46.1	13.2
Papúa	Biscoe	50	16.3
Papúa	Biscoe	48.7	14.1
Papúa	Biscoe	50	15.2
Papúa	Biscoe	47.6	14.5
Papúa	Biscoe	46.5	13.5
Papúa	Biscoe	45.4	14.6
Papúa	Biscoe	46.7	15.3
Papúa	Biscoe	43.3	13.4
Papúa	Biscoe	46.8	15.4
Papúa	Biscoe	40.9	13.7
Papúa	Biscoe	49	16.1
Papúa	Biscoe	45.5	13.7
Papúa	Biscoe	48.4	14.6
Papúa	Biscoe	45.8	14.6
Papúa	Biscoe	49.3	15.7
Papúa	Biscoe	42	13.5
Papúa	Biscoe	49.2	15.2
Papúa	Biscoe	46.2	14.5
Papúa	Biscoe	48.7	15.1
Papúa	Biscoe	50.2	14.3
Papúa	Biscoe	45.1	14.5
Papúa	Biscoe	46.5	14.5
Papúa	Biscoe	46.3	15.8
Papúa	Biscoe	42.9	13.1
Papúa	Biscoe	46.1	15.1
Papúa	Biscoe	44.5	14.3
Papúa	Biscoe	47.8	15
Papúa	Biscoe	48.2	14.3
Papúa	Biscoe	50	15.3
Papúa	Biscoe	47.3	15.3
Papúa	Biscoe	42.8	14.2
Papúa	Biscoe	45.1	14.5
Papúa	Biscoe	59.6	17
Papúa	Biscoe	49.1	14.8
Papúa	Biscoe	48.4	16.3
Papúa	Biscoe	42.6	13.7
Papúa	Biscoe	44.4	17.3
Papúa	Biscoe	44	13.6
Papúa	Biscoe	48.7	15.7
Papúa	Biscoe	42.7	13.7
Papúa	Biscoe	49.6	16
Papúa	Biscoe	45.3	13.7
Papúa	Biscoe	49.6	15
Papúa	Biscoe	50.5	15.9
Papúa	Biscoe	43.6	13.9
Papúa	Biscoe	45.5	13.9
Papúa	Biscoe	50.5	15.9
Papúa	Biscoe	44.9	13.3
Papúa	Biscoe	45.2	15.8
Papúa	Biscoe	46.6	14.2
Papúa	Biscoe	48.5	14.1
Papúa	Biscoe	45.1	14.4
Papúa	Biscoe	50.1	15
Papúa	Biscoe	46.5	14.4
Papúa	Biscoe	45	15.4
Papúa	Biscoe	43.8	13.9
Papúa	Biscoe	45.5	15
Papúa	Biscoe	43.2	14.5
Papúa	Biscoe	50.4	15.3
Papúa	Biscoe	45.3	13.8
Papúa	Biscoe	46.2	14.9
Papúa	Biscoe	45.7	13.9
Papúa	Biscoe	54.3	15.7
Papúa	Biscoe	45.8	14.2
Papúa	Biscoe	49.8	16.8
Papúa	Biscoe	46.2	14.4
Papúa	Biscoe	49.5	16.2
Papúa	Biscoe	43.5	14.2
Papúa	Biscoe	50.7	15
Papúa	Biscoe	47.7	15
Papúa	Biscoe	46.4	15.6
Papúa	Biscoe	48.2	15.6
Papúa	Biscoe	46.5	14.8
Papúa	Biscoe	46.4	15
Papúa	Biscoe	48.6	16
Papúa	Biscoe	47.5	14.2
Papúa	Biscoe	51.1	16.3
Papúa	Biscoe	45.2	13.8
Papúa	Biscoe	45.2	16.4
Papúa	Biscoe	49.1	14.5
Papúa	Biscoe	52.5	15.6
Papúa	Biscoe	47.4	14.6
Papúa	Biscoe	50	15.9
Papúa	Biscoe	44.9	13.8
Papúa	Biscoe	50.8	17.3
Papúa	Biscoe	43.4	14.4
Papúa	Biscoe	51.3	14.2
Papúa	Biscoe	47.5	14
Papúa	Biscoe	52.1	17
Papúa	Biscoe	47.5	15
Papúa	Biscoe	52.2	17.1
Papúa	Biscoe	45.5	14.5
Papúa	Biscoe	49.5	16.1
Papúa	Biscoe	44.5	14.7
Papúa	Biscoe	50.8	15.7
Papúa	Biscoe	49.4	15.8
Papúa	Biscoe	46.9	14.6
Papúa	Biscoe	48.4	14.4
Papúa	Biscoe	51.1	16.5
Papúa	Biscoe	48.5	15
Papúa	Biscoe	55.9	17
Papúa	Biscoe	47.2	15.5
Papúa	Biscoe	49.1	15
Papúa	Biscoe	47.3	13.8
Papúa	Biscoe	46.8	16.1
Papúa	Biscoe	41.7	14.7
Papúa	Biscoe	53.4	15.8
Papúa	Biscoe	43.3	14
Papúa	Biscoe	48.1	15.1
Papúa	Biscoe	50.5	15.2
Papúa	Biscoe	49.8	15.9
Papúa	Biscoe	43.5	15.2
Papúa	Biscoe	51.5	16.3
Papúa	Biscoe	46.2	14.1
Papúa	Biscoe	55.1	16
Papúa	Biscoe	44.5	15.7
Papúa	Biscoe	48.8	16.2
Papúa	Biscoe	47.2	13.7
Papúa	Biscoe	NA	NA
Papúa	Biscoe	46.8	14.3
Papúa	Biscoe	50.4	15.7
Papúa	Biscoe	45.2	14.8
Papúa	Biscoe	49.9	16.1
Barbijo	Dream	46.5	17.9
Barbijo	Dream	50	19.5
Barbijo	Dream	51.3	19.2
Barbijo	Dream	45.4	18.7
Barbijo	Dream	52.7	19.8
Barbijo	Dream	45.2	17.8
Barbijo	Dream	46.1	18.2
Barbijo	Dream	51.3	18.2
Barbijo	Dream	46	18.9
Barbijo	Dream	51.3	19.9
Barbijo	Dream	46.6	17.8
Barbijo	Dream	51.7	20.3
Barbijo	Dream	47	17.3
Barbijo	Dream	52	18.1
Barbijo	Dream	45.9	17.1
Barbijo	Dream	50.5	19.6
Barbijo	Dream	50.3	20
Barbijo	Dream	58	17.8
Barbijo	Dream	46.4	18.6
Barbijo	Dream	49.2	18.2
Barbijo	Dream	42.4	17.3
Barbijo	Dream	48.5	17.5
Barbijo	Dream	43.2	16.6
Barbijo	Dream	50.6	19.4
Barbijo	Dream	46.7	17.9
Barbijo	Dream	52	19
Barbijo	Dream	50.5	18.4
Barbijo	Dream	49.5	19
Barbijo	Dream	46.4	17.8
Barbijo	Dream	52.8	20
Barbijo	Dream	40.9	16.6
Barbijo	Dream	54.2	20.8
Barbijo	Dream	42.5	16.7
Barbijo	Dream	51	18.8
Barbijo	Dream	49.7	18.6
Barbijo	Dream	47.5	16.8
Barbijo	Dream	47.6	18.3
Barbijo	Dream	52	20.7
Barbijo	Dream	46.9	16.6
Barbijo	Dream	53.5	19.9
Barbijo	Dream	49	19.5
Barbijo	Dream	46.2	17.5
Barbijo	Dream	50.9	19.1
Barbijo	Dream	45.5	17
Barbijo	Dream	50.9	17.9
Barbijo	Dream	50.8	18.5
Barbijo	Dream	50.1	17.9
Barbijo	Dream	49	19.6
Barbijo	Dream	51.5	18.7
Barbijo	Dream	49.8	17.3
Barbijo	Dream	48.1	16.4
Barbijo	Dream	51.4	19
Barbijo	Dream	45.7	17.3
Barbijo	Dream	50.7	19.7
Barbijo	Dream	42.5	17.3
Barbijo	Dream	52.2	18.8
Barbijo	Dream	45.2	16.6
Barbijo	Dream	49.3	19.9
Barbijo	Dream	50.2	18.8
Barbijo	Dream	45.6	19.4
Barbijo	Dream	51.9	19.5
Barbijo	Dream	46.8	16.5
Barbijo	Dream	45.7	17
Barbijo	Dream	55.8	19.8
Barbijo	Dream	43.5	18.1
Barbijo	Dream	49.6	18.2
Barbijo	Dream	50.8	19
Barbijo	Dream	50.2	18.7
